timestamp_utc,date,price,in_stock
2026-07-13T22:47:10+00:00,2026-07-13,759.98,1
2026-07-13T22:56:34+00:00,2026-07-13,759.98,1
2026-07-14T10:57:59+00:00,2026-07-14,759.98,1
2026-07-14T18:48:38+00:00,2026-07-14,759.98,1
2026-07-15T11:03:47+00:00,2026-07-15,759.98,1
2026-07-15T18:47:11+00:00,2026-07-15,759.98,1
2026-07-16T11:14:19+00:00,2026-07-16,759.98,1
2026-07-16T18:48:30+00:00,2026-07-16,759.98,1
2026-07-17T10:59:44+00:00,2026-07-17,759.98,1
2026-07-17T18:41:46+00:00,2026-07-17,759.98,1
2026-07-18T10:43:32+00:00,2026-07-18,759.98,1
2026-07-18T18:38:08+00:00,2026-07-18,759.98,1
2026-07-19T10:46:55+00:00,2026-07-19,759.98,1
2026-07-19T18:39:49+00:00,2026-07-19,759.98,1
2026-07-20T12:00:22+00:00,2026-07-20,759.98,1
2026-07-20T19:17:34+00:00,2026-07-20,759.98,1
2026-07-21T11:20:35+00:00,2026-07-21,759.98,1
2026-07-21T18:56:42+00:00,2026-07-21,759.98,1
2026-07-22T11:22:12+00:00,2026-07-22,759.98,1
