timestamp_utc,date,price,in_stock
2026-07-13T22:47:16+00:00,2026-07-13,639.99,1
2026-07-13T22:56:41+00:00,2026-07-13,639.99,1
2026-07-14T10:58:06+00:00,2026-07-14,639.99,1
2026-07-14T18:48:45+00:00,2026-07-14,639.99,1
2026-07-15T11:03:54+00:00,2026-07-15,639.99,1
2026-07-15T18:47:18+00:00,2026-07-15,639.99,1
2026-07-16T11:14:26+00:00,2026-07-16,639.99,1
2026-07-16T18:48:36+00:00,2026-07-16,639.99,1
2026-07-17T10:59:51+00:00,2026-07-17,639.99,1
2026-07-17T18:41:53+00:00,2026-07-17,639.99,1
2026-07-18T10:43:43+00:00,2026-07-18,639.99,1
2026-07-18T18:38:15+00:00,2026-07-18,639.99,1
2026-07-19T10:47:11+00:00,2026-07-19,639.99,1
2026-07-19T18:39:56+00:00,2026-07-19,639.99,1
2026-07-20T12:00:28+00:00,2026-07-20,639.99,1
2026-07-20T19:17:41+00:00,2026-07-20,500.00,1
2026-07-21T11:20:42+00:00,2026-07-21,500.00,1
2026-07-21T18:56:49+00:00,2026-07-21,500.00,1
2026-07-22T11:22:19+00:00,2026-07-22,500.00,1
2026-07-22T18:48:34+00:00,2026-07-22,500.00,1
2026-07-23T11:22:21+00:00,2026-07-23,500.00,1
2026-07-23T18:50:17+00:00,2026-07-23,500.00,1
2026-07-24T11:15:01+00:00,2026-07-24,500.00,1
2026-07-24T19:05:16+00:00,2026-07-24,500.00,1
2026-07-25T10:47:18+00:00,2026-07-25,500.00,1
2026-07-25T18:41:17+00:00,2026-07-25,500.00,1
2026-07-26T10:55:50+00:00,2026-07-26,500.00,1
2026-07-26T18:44:18+00:00,2026-07-26,500.00,1
2026-07-27T12:38:59+00:00,2026-07-27,500.00,1
2026-07-27T19:02:38+00:00,2026-07-27,500.00,1
2026-07-28T11:30:51+00:00,2026-07-28,500.00,1
2026-07-28T18:58:22+00:00,2026-07-28,500.00,1
2026-07-29T11:36:12+00:00,2026-07-29,500.00,1
2026-07-29T18:42:22+00:00,2026-07-29,500.00,1
2026-07-30T11:23:21+00:00,2026-07-30,500.00,1
2026-07-30T19:02:09+00:00,2026-07-30,628.99,1
2026-07-31T18:59:06+00:00,2026-07-31,628.99,1
2026-08-01T10:51:38+00:00,2026-08-01,628.99,1
2026-08-01T18:42:18+00:00,2026-08-01,628.99,1
2026-08-02T10:52:34+00:00,2026-08-02,628.99,1
2026-08-02T18:42:58+00:00,2026-08-02,628.99,1
2026-08-03T12:38:24+00:00,2026-08-03,628.99,1
2026-08-03T19:11:46+00:00,2026-08-03,628.99,1
2026-08-04T11:35:53+00:00,2026-08-04,628.99,1
2026-08-04T19:12:13+00:00,2026-08-04,628.99,1
2026-08-05T11:32:45+00:00,2026-08-05,628.99,1
2026-08-05T19:06:33+00:00,2026-08-05,628.99,1
2026-08-06T11:35:43+00:00,2026-08-06,628.99,1
