timestamp_utc,date,price,in_stock
2026-07-13T22:47:18+00:00,2026-07-13,389.99,1
2026-07-13T22:56:42+00:00,2026-07-13,389.99,1
2026-07-14T10:58:07+00:00,2026-07-14,389.99,1
2026-07-14T18:48:46+00:00,2026-07-14,389.99,1
2026-07-15T11:03:55+00:00,2026-07-15,389.99,1
2026-07-15T18:47:19+00:00,2026-07-15,389.99,1
2026-07-16T11:14:27+00:00,2026-07-16,389.99,1
2026-07-16T18:48:38+00:00,2026-07-16,389.99,1
2026-07-17T10:59:52+00:00,2026-07-17,389.99,1
2026-07-17T18:41:54+00:00,2026-07-17,389.99,1
2026-07-18T10:43:44+00:00,2026-07-18,389.99,1
