timestamp_utc,date,price,in_stock
2026-07-13T22:47:00+00:00,2026-07-13,899.99,1
2026-07-13T22:56:25+00:00,2026-07-13,899.99,1
2026-07-14T10:57:50+00:00,2026-07-14,899.99,0
2026-07-14T18:48:30+00:00,2026-07-14,899.99,0
2026-07-15T11:03:38+00:00,2026-07-15,899.99,1
2026-07-15T18:47:02+00:00,2026-07-15,899.99,1
2026-07-16T11:14:10+00:00,2026-07-16,899.99,1
2026-07-16T18:48:21+00:00,2026-07-16,899.99,1
2026-07-17T10:59:35+00:00,2026-07-17,899.99,1
2026-07-17T18:41:37+00:00,2026-07-17,899.99,1
2026-07-18T10:43:24+00:00,2026-07-18,899.99,1
2026-07-18T18:37:59+00:00,2026-07-18,899.99,1
2026-07-19T10:46:46+00:00,2026-07-19,899.99,1
2026-07-19T18:39:41+00:00,2026-07-19,899.99,1
2026-07-20T12:00:13+00:00,2026-07-20,899.99,1
2026-07-20T19:17:26+00:00,2026-07-20,899.99,1
2026-07-21T11:20:26+00:00,2026-07-21,899.99,1
2026-07-21T18:56:33+00:00,2026-07-21,899.99,1
2026-07-22T11:22:04+00:00,2026-07-22,899.99,1
2026-07-22T18:48:19+00:00,2026-07-22,899.99,1
2026-07-23T11:22:07+00:00,2026-07-23,899.99,1
2026-07-23T18:50:02+00:00,2026-07-23,899.99,1
2026-07-24T11:14:45+00:00,2026-07-24,989.99,1
2026-07-24T19:05:01+00:00,2026-07-24,989.99,1
2026-07-25T10:47:02+00:00,2026-07-25,989.99,1
2026-07-25T18:41:01+00:00,2026-07-25,989.99,1
2026-07-26T10:55:34+00:00,2026-07-26,989.99,1
2026-07-26T18:44:02+00:00,2026-07-26,989.99,1
2026-07-27T12:38:44+00:00,2026-07-27,989.99,0
2026-07-27T19:02:23+00:00,2026-07-27,989.99,0
2026-07-28T11:30:35+00:00,2026-07-28,989.99,0
2026-07-28T18:58:06+00:00,2026-07-28,989.99,0
2026-07-29T11:35:56+00:00,2026-07-29,989.99,0
2026-07-29T18:42:06+00:00,2026-07-29,989.99,0
2026-07-30T11:23:06+00:00,2026-07-30,989.99,0
2026-07-30T19:01:54+00:00,2026-07-30,989.99,0
2026-07-31T18:58:50+00:00,2026-07-31,989.99,1
2026-08-01T10:51:23+00:00,2026-08-01,989.99,1
2026-08-01T18:42:02+00:00,2026-08-01,989.99,1
2026-08-02T10:52:18+00:00,2026-08-02,989.99,1
2026-08-02T18:42:43+00:00,2026-08-02,989.99,1
2026-08-03T12:38:08+00:00,2026-08-03,989.99,1
2026-08-04T11:35:36+00:00,2026-08-04,989.99,1
2026-08-04T19:11:57+00:00,2026-08-04,989.99,1
2026-08-05T11:32:29+00:00,2026-08-05,989.99,1
2026-08-05T19:06:17+00:00,2026-08-05,989.99,1
2026-08-06T11:35:27+00:00,2026-08-06,989.99,1
2026-08-07T10:13:52+00:00,2026-08-07,899.99,1
2026-08-07T18:31:26+00:00,2026-08-07,899.99,1
2026-08-08T09:56:46+00:00,2026-08-08,899.99,1
2026-08-08T18:04:09+00:00,2026-08-08,899.99,1
2026-08-09T09:59:30+00:00,2026-08-09,899.99,1
2026-08-09T18:06:15+00:00,2026-08-09,899.99,1
2026-08-10T10:38:41+00:00,2026-08-10,899.99,1
2026-08-10T18:35:29+00:00,2026-08-10,899.99,1
2026-08-11T10:13:58+00:00,2026-08-11,899.99,1
2026-08-11T18:37:17+00:00,2026-08-11,899.99,1
2026-08-12T10:29:02+00:00,2026-08-12,899.99,1
2026-08-12T18:37:49+00:00,2026-08-12,899.99,1
2026-08-13T10:30:48+00:00,2026-08-13,899.99,1
2026-08-13T18:38:16+00:00,2026-08-13,899.99,1
2026-08-14T10:26:36+00:00,2026-08-14,1122.99,1
2026-08-14T18:34:08+00:00,2026-08-14,1122.99,1
2026-08-15T09:44:07+00:00,2026-08-15,1122.99,1
2026-08-15T17:58:20+00:00,2026-08-15,1122.99,1
2026-08-16T09:45:30+00:00,2026-08-16,1122.99,1
2026-08-16T17:56:32+00:00,2026-08-16,1122.99,1
2026-08-17T10:00:26+00:00,2026-08-17,1122.99,1
2026-08-17T18:04:27+00:00,2026-08-17,1122.99,1
2026-08-18T09:51:49+00:00,2026-08-18,1122.99,1
2026-08-18T18:02:55+00:00,2026-08-18,1134.99,1
2026-08-19T09:52:06+00:00,2026-08-19,1134.99,1
2026-08-19T17:59:56+00:00,2026-08-19,1134.99,1
2026-08-20T09:52:34+00:00,2026-08-20,1134.99,1
